offspring	mom	dad	mom.mm	dad.mm	year	off.age	return.year
MR11_157	MR07_432	MR07_767	1	0	2007	4	2011
MR11_158	UK	UK	mp	mp	mp	mp	2011
MR11_159	MR07_084	MR07_112	1	0	2007	4	2011
MR11_160	MR07_135	MR07_008	1	1	2007	4	2011
MR11_161	MR07_060	MR07_545	0	1	2007	4	2011
MR11_162	UK	UK	mp	mp	mp	mp	2011
MR11_163	UK	UK	mp	mp	mp	mp	2011
MR11_164	MR08_280	MR08_599	0	0	2008	3	2011
MR11_165	UK	UK	mp	mp	mp	mp	2011
MR11_166	MR07_391	UK	1	mp	2007	4	2011
MR11_167	UK	UK	mp	mp	mp	mp	2011
MR11_168	UK	UK	mp	mp	mp	mp	2011
MR11_169	UK	UK	mp	mp	mp	mp	2011
MR11_170	UK	UK	mp	mp	mp	mp	2011
MR11_171	UK	UK	mp	mp	mp	mp	2011
MR11_172	MR07_098	UK	1	2	2007	4	2011
MR11_174	MR07_202	MR07_444	0	1	2007	4	2011
MR11_175	MR07_044	MR07_259	1	0	2007	4	2011
MR11_176	UK	UK	mp	mp	mp	mp	2011
MR11_177	MR07_836	MR07_781	0	0	2007	4	2011
MR11_178	MR07_098	MR07_435	0	1	2007	4	2011
MR11_179	MR07_271	MR07_464	0	1	2007	4	2011
MR11_180	MR07_213	MR07_544	0	0	2007	4	2011
MR11_181	UK	UK	mp	mp	mp	mp	2011
MR11_182	UK	UK	mp	mp	mp	mp	2011
MR11_183	MR07_125	MR07_260	0	0	2007	4	2011
MR11_184	MR07_221	MR07_607	1	0	2007	4	2011
MR11_185	UK	UK	mp	mp	mp	mp	2011
MR11_186	UK	UK	mp	mp	mp	mp	2011
MR11_187	MR07_439	MR07_542	0	0	2007	4	2011
MR11_188	UK	UK	mp	mp	mp	mp	2011
MR11_189	MR07_493	MR07_539	0	0	2007	4	2011
MR11_190	UK	UK	mp	mp	mp	mp	2011
MR11_191	UK	UK	mp	mp	mp	mp	2011
MR11_192	MR07_488	MR07_074	0	1	2007	4	2011
MR11_193	MR07_215	MR07_534	0	0	2007	4	2011
MR11_194	MR07_025	MR07_525	0	1	2007	4	2011
MR11_195	MR07_079	MR07_237	1	0	2007	4	2011
MR11_196	UK	UK	mp	mp	mp	mp	2011
MR11_197	UK	UK	mp	mp	mp	mp	2011
MR11_198	MR07_191	MR07_156	0	0	2007	4	2011
MR11_199	MR07_081	MR07_260	0	0	2007	4	2011
MR11_200	UK	UK	mp	mp	mp	mp	2011
MR11_201	MR07_426	MR07_474	0	0	2007	4	2011
MR11_202	UK	UK	mp	mp	mp	mp	2011
MR11_203	MR07_170	MR07_220	0	0	2007	4	2011
MR11_204	UK	UK	mp	mp	mp	mp	2011
MR11_205	UK	UK	mp	mp	mp	mp	2011
MR11_206	MR07_028	MR07_182	0	0	2007	4	2011
MR11_207	MR08_042	MR08_664	0	1	2008	3	2011
MR11_208	MR07_836	MR07_781	0	0	2007	4	2011
MR11_209	MR07_126	MR07_260	1	0	2007	4	2011
MR11_210	UK	MR07_097	3	0	2007	4	2011
MR11_211	UK	UK	mp	mp	mp	mp	2011
MR11_212	UK	UK	mp	mp	mp	mp	2011
MR11_213	UK	MR07_175	mp	0	2007	4	2011
MR11_214	UK	UK	mp	mp	mp	mp	2011
MR11_215	UK	UK	mp	mp	mp	mp	2011
MR11_216	UK	UK	mp	mp	mp	mp	2011
MR11_217	UK	UK	mp	mp	mp	mp	2011
MR11_218	MR07_212	MR07_177	0	0	2007	4	2011
MR11_219	MR07_261	MR07_404	0	0	2007	4	2011
MR11_220	MR07_144	MR07_527	1	0	2007	4	2011
MR11_221	MR07_437	MR07_607	0	0	2007	4	2011
MR11_222	MR07_178	MR07_556	0	0	2007	4	2011
MR11_223	UK	UK	mp	mp	mp	mp	2011
MR11_224	UK	MR07_097	mp	0	2007	4	2011
MR11_225	UK	UK	mp	mp	mp	mp	2011
MR11_226	MR07_427	MR07_569	1	0	2007	4	2011
MR11_227	UK	UK	mp	mp	mp	mp	2011
MR11_229	MR07_882	MR07_591	0	1	2007	4	2011
MR11_230	MR07_809	MR07_781	0	0	2007	4	2011
MR11_231	UK	UK	mp	mp	mp	mp	2011
MR11_232	UK	UK	mp	mp	mp	mp	2011
MR11_233	MR07_262	MR07_156	1	0	2007	4	2011
MR11_234	UK	UK	mp	mp	mp	mp	2011
MR11_235	UK	UK	mp	mp	mp	mp	2011
MR11_237	MR07_199	MR07_546	0	1	2007	4	2011
MR11_238	UK	UK	mp	mp	mp	mp	2011
MR11_239	UK	UK	mp	mp	mp	mp	2011
MR11_240	UK	UK	mp	mp	mp	mp	2011
MR11_241	UK	UK	mp	mp	mp	mp	2011
MR11_242	UK	UK	mp	mp	mp	mp	2011
MR11_243	UK	UK	mp	mp	mp	mp	2011
MR11_244	UK	UK	mp	mp	mp	mp	2011
MR11_245	UK	UK	mp	mp	mp	mp	2011
MR11_246	UK	UK	mp	mp	mp	mp	2011
MR11_248	UK	UK	mp	mp	mp	mp	2011
MR11_250	UK	UK	mp	mp	mp	mp	2011
MR11_251	UK	MR07_578	mp	0	2007	4	2011
MR11_252	UK	UK	mp	mp	mp	mp	2011
MR11_254	UK	UK	mp	mp	mp	mp	2011
MR11_255	UK	UK	mp	mp	mp	mp	2011
MR11_256	UK	UK	mp	mp	mp	mp	2011
MR11_257	UK	UK	mp	mp	mp	mp	2011
MR11_258	UK	UK	mp	mp	mp	mp	2011
MR11_260	UK	UK	mp	mp	mp	mp	2011
MR11_261	UK	UK	mp	mp	mp	mp	2011
MR11_262	UK	UK	mp	mp	mp	mp	2011
MR11_263	UK	UK	mp	mp	mp	mp	2011
MR11_264	UK	UK	mp	mp	mp	mp	2011
MR11_265	UK	UK	mp	mp	mp	mp	2011
MR11_266	UK	UK	mp	mp	mp	mp	2011
MR11_267	UK	UK	mp	mp	mp	mp	2011
MR11_268	UK	UK	mp	mp	mp	mp	2011
MR11_269	UK	UK	mp	mp	mp	mp	2011
MR11_270	UK	UK	mp	mp	mp	mp	2011
MR11_271	UK	UK	mp	mp	mp	mp	2011
MR11_272	UK	UK	mp	mp	mp	mp	2011
MR11_273	UK	UK	mp	mp	mp	mp	2011
MR11_274	UK	UK	mp	mp	mp	mp	2011
MR11_275	UK	UK	mp	mp	mp	mp	2011
MR11_276	UK	UK	mp	mp	mp	mp	2011
MR11_277	UK	UK	mp	mp	mp	mp	2011
MR11_278	UK	UK	mp	mp	mp	mp	2011
MR11_279	UK	UK	mp	mp	mp	mp	2011
MR11_280	UK	UK	mp	mp	mp	mp	2011
MR11_281	UK	UK	mp	mp	mp	mp	2011
MR11_282	UK	UK	mp	mp	mp	mp	2011
MR11_283	UK	UK	mp	mp	mp	mp	2011
MR11_284	UK	UK	mp	mp	mp	mp	2011
MR11_285	UK	UK	mp	mp	mp	mp	2011
MR11_286	UK	UK	mp	mp	mp	mp	2011
MR11_287	UK	UK	mp	mp	mp	mp	2011
MR11_288	UK	UK	mp	mp	mp	mp	2011
MR11_289	UK	UK	mp	mp	mp	mp	2011
MR11_290	UK	UK	mp	mp	mp	mp	2011
MR11_291	UK	UK	mp	mp	mp	mp	2011
MR11_292	UK	UK	mp	mp	mp	mp	2011
MR11_293	UK	UK	mp	mp	mp	mp	2011
MR11_294	UK	UK	mp	mp	mp	mp	2011
MR11_296	UK	UK	mp	mp	mp	mp	2011
MR11_297	UK	UK	mp	mp	mp	mp	2011
MR11_298	UK	UK	mp	mp	mp	mp	2011
MR11_299	UK	UK	mp	mp	mp	mp	2011
MR11_300	UK	UK	mp	mp	mp	mp	2011
MR11_301	UK	UK	mp	mp	mp	mp	2011
MR11_302	UK	UK	mp	mp	mp	mp	2011
MR11_303	UK	UK	mp	mp	mp	mp	2011
MR11_304	UK	UK	mp	mp	mp	mp	2011
MR11_305	UK	UK	mp	mp	mp	mp	2011
MR11_306	UK	UK	mp	mp	mp	mp	2011
MR11_307	UK	UK	mp	mp	mp	mp	2011
MR11_309	UK	UK	mp	mp	mp	mp	2011
MR11_310	UK	UK	mp	mp	mp	mp	2011
MR11_311	UK	UK	mp	mp	mp	mp	2011
MR11_312	UK	UK	mp	mp	mp	mp	2011
MR11_313	UK	UK	mp	mp	mp	mp	2011
MR11_314	UK	UK	mp	mp	mp	mp	2011
MR11_315	UK	UK	mp	mp	mp	mp	2011
MR11_316	UK	UK	mp	mp	mp	mp	2011
MR11_317	UK	UK	mp	mp	mp	mp	2011
MR11_319	UK	UK	mp	mp	mp	mp	2011
MR11_320	UK	UK	mp	mp	mp	mp	2011
MR11_321	UK	MR07_670	mp	1	2007	4	2011
MR11_322	UK	UK	mp	mp	mp	mp	2011
MR11_323	MR07_813	MR07_096	0	0	2007	4	2011
MR11_324	MR07_796	MR07_227	0	0	2007	4	2011
MR11_325	UK	UK	mp	mp	mp	mp	2011
MR11_327	UK	UK	mp	mp	mp	mp	2011
MR11_328	UK	UK	mp	mp	mp	mp	2011
MR11_329	UK	UK	mp	mp	mp	mp	2011
MR11_330	UK	UK	mp	mp	mp	mp	2011
MR11_331	UK	MR07_266	mp	0	2007	4	2011
MR11_333	UK	UK	mp	mp	mp	mp	2011
MR11_334	UK	UK	mp	mp	mp	mp	2011
MR11_335	UK	UK	mp	mp	mp	mp	2011
MR11_336	UK	UK	mp	mp	mp	mp	2011
MR11_337	UK	UK	mp	mp	mp	mp	2011
MR11_340	UK	UK	mp	mp	mp	mp	2011
MR11_341	UK	UK	mp	mp	mp	mp	2011
MR11_343	UK	UK	mp	mp	mp	mp	2011
MR11_344	UK	UK	mp	mp	mp	mp	2011
MR11_345	UK	UK	mp	mp	mp	mp	2011
MR11_346	MR07_387	UK	1	mp	2007	4	2011
MR11_347	UK	UK	mp	mp	mp	mp	2011
MR11_348	UK	UK	mp	mp	mp	mp	2011
MR11_351	UK	UK	mp	mp	mp	mp	2011
MR11_352	UK	UK	mp	mp	mp	mp	2011
MR11_353	UK	UK	mp	mp	mp	mp	2011
MR11_354	UK	UK	mp	mp	mp	mp	2011
MR11_356	UK	UK	mp	mp	mp	mp	2011
MR11_357	UK	UK	mp	mp	mp	mp	2011
MR11_358	UK	UK	mp	mp	mp	mp	2011
MR11_362	UK	UK	mp	mp	mp	mp	2011
MR11_364	UK	UK	mp	mp	mp	mp	2011
MR11_365	UK	UK	mp	mp	mp	mp	2011
MR11_366	UK	UK	mp	mp	mp	mp	2011
MR11_367	UK	UK	mp	mp	mp	mp	2011
MR11_370	UK	UK	mp	mp	mp	mp	2011
MR11_371	UK	UK	mp	mp	mp	mp	2011
MR11_372	UK	UK	mp	mp	mp	mp	2011
MR11_373	UK	UK	mp	mp	mp	mp	2011
MR11_374	UK	UK	mp	mp	mp	mp	2011
MR11_375	UK	UK	mp	mp	mp	mp	2011
MR11_376	UK	UK	mp	mp	mp	mp	2011
MR11_377	MR08_231	UK	1	mp	2008	3	2011
MR11_378	UK	UK	mp	mp	mp	mp	2011
MR11_380	UK	MR07_539	mp	1	2007	4	2011
MR11_381	UK	UK	mp	mp	mp	mp	2011
MR11_386	UK	MR07_781	mp	0	2007	4	2011
MR11_387	UK	UK	mp	mp	mp	mp	2011
MR11_388	UK	UK	mp	mp	mp	mp	2011
