Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
OtsAC19SFMK_0003,11,OtsAC14SFMK_0207,11,11,5,-5.88213606795497E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,6, 7.75801834881226E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC14MCKR_0444,9,9,4,-8.06460412248816E+0000, 0.00000000000000E+0000,,11,5, 7.74044119351675E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15SFMK_0012,11,11,6,-1.14359728556502E+0001, 0.00000000000000E+0000,,11,6, 7.16335866041976E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15MCKR_0112,9,9,5,-1.12066539402845E+0001, 0.00000000000000E+0000,,11,5, 7.15756002590070E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15MCKR_0367,9,9,5,-1.26916212824647E+0001, 0.00000000000000E+0000,,11,5, 6.99658133977826E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC16SFMK_1262,11,11,5,-8.82039690561132E+0000, 0.00000000000000E+0000,,11,6, 6.88953985020254E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15SFMK_0253,11,11,5,-9.43872300188664E+0000, 0.00000000000000E+0000,,11,6, 6.79724292296863E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15MCKR_0457,9,9,5,-1.19372146586745E+0001, 0.00000000000000E+0000,,11,5, 6.59885286536996E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC14MCKR_0307,9,9,5,-1.25337152864227E+0001, 0.00000000000000E+0000,,11,5, 6.51659567323450E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC15MCKR_0795,9,9,4,-5.61538856785528E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,5, 6.41596379610855E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC13SFMK_4039,11,11,5,-9.07240915671609E+0000, 0.00000000000000E+0000,,11,6, 6.25748240776193E+0000, 0.00000000000000E+0000,,
